epoch,accuracy,loss,val_accuracy,val_loss
0,0.7494195103645325,0.5240085124969482,0.824999988079071,0.47478991746902466
1,0.84375,0.18232229351997375,0.7777777910232544,0.46668705344200134
2,0.8490802049636841,0.3536171019077301,0.8374999761581421,0.46407976746559143
3,0.8125,0.2017727941274643,0.7676767706871033,0.5394598245620728
4,0.8574745655059814,0.3322921097278595,0.8125,0.4321151673793793
5,0.75,0.30636775493621826,0.8282828330993652,0.4659222662448883
6,0.8672977089881897,0.31579115986824036,0.7875000238418579,0.3914739191532135
7,0.84375,0.1339111626148224,0.808080792427063,0.3447306156158447
8,0.88051438331604,0.2844027578830719,0.8374999761581421,0.4368780255317688
9,0.875,0.19735118746757507,0.8484848737716675,0.260763943195343
10,0.8953384757041931,0.2544160783290863,0.862500011920929,0.4838370382785797
11,0.90625,0.17844296991825104,0.8787878751754761,0.27036088705062866
12,0.8998035192489624,0.2523023188114166,0.887499988079071,0.2529371380805969
13,0.8125,0.1252177357673645,0.8484848737716675,0.24528737366199493
14,0.9024825692176819,0.25519946217536926,0.8500000238418579,0.44603627920150757
15,0.9375,0.07185710221529007,0.8484848737716675,0.38184279203414917
16,0.9046258330345154,0.23643451929092407,0.8687499761581421,0.3041493892669678
17,0.9375,0.07890065759420395,0.8888888955116272,0.24322786927223206
18,0.9078406691551208,0.22312742471694946,0.90625,0.33924809098243713
19,1.0,0.048108480870723724,0.8383838534355164,0.2355152666568756
20,0.9106983542442322,0.22069284319877625,0.8500000238418579,0.4086340367794037
21,0.90625,0.0825585126876831,0.8585858345031738,0.23574332892894745
22,0.9030184149742126,0.2362084984779358,0.875,0.28869572281837463
23,0.9375,0.07413115352392197,0.8383838534355164,0.20257806777954102
24,0.921771764755249,0.19863472878932953,0.875,0.31901901960372925
25,0.96875,0.11485481262207031,0.939393937587738,0.2151608020067215
26,0.921771764755249,0.2047499567270279,0.875,0.4103530943393707
27,0.9375,0.09640847891569138,0.8888888955116272,0.33662712574005127
28,0.9296302795410156,0.18696339428424835,0.893750011920929,0.2966693043708801
29,0.96875,0.049600280821323395,0.9292929172515869,0.14236848056316376
30,0.9312376976013184,0.1802651584148407,0.8687499761581421,0.2914392054080963
31,0.9375,0.05235102400183678,0.8989899158477783,0.2546236515045166
32,0.9382032752037048,0.16726262867450714,0.893750011920929,0.3063652217388153
33,0.90625,0.08277948200702667,0.939393937587738,0.11746784299612045
34,0.9367744326591492,0.16154925525188446,0.887499988079071,0.34901317954063416
35,0.9375,0.06731747090816498,0.8989899158477783,0.22807209193706512
36,0.9376674294471741,0.1671348512172699,0.8374999761581421,0.37903454899787903
37,0.84375,0.08647274971008301,0.8383838534355164,0.30503854155540466
38,0.9401679039001465,0.16012051701545715,0.9125000238418579,0.257841557264328
39,1.0,0.018094319850206375,0.8787878751754761,0.18423449993133545
40,0.9449901580810547,0.14067022502422333,0.893750011920929,0.2355450689792633
41,0.90625,0.07102183997631073,0.8989899158477783,0.366865336894989
42,0.9558849930763245,0.12187566608190536,0.9125000238418579,0.2567508816719055
43,0.90625,0.11106840521097183,0.8888888955116272,0.2645091712474823
44,0.9524915218353271,0.12968981266021729,0.8687499761581421,0.3263082802295685
45,1.0,0.01540775690227747,0.8989899158477783,0.14062587916851044
46,0.9578496217727661,0.11390255391597748,0.90625,0.260672003030777
47,1.0,0.024325724691152573,0.8989899158477783,0.15881460905075073
48,0.9607072472572327,0.11209657788276672,0.918749988079071,0.1834263801574707
49,0.96875,0.03368888795375824,0.8787878751754761,0.3167226314544678
50,0.9555277824401855,0.12328032404184341,0.90625,0.20571765303611755
51,0.9375,0.08387748152017593,0.8787878751754761,0.20544400811195374
52,0.9626718759536743,0.10705187171697617,0.949999988079071,0.16587714850902557
53,0.9375,0.07511912286281586,0.9494949579238892,0.0905795469880104
54,0.9603500366210938,0.10849731415510178,0.9375,0.2092757225036621
55,1.0,0.015755828469991684,0.9595959782600403,0.10757448524236679
56,0.9565994143486023,0.1257466822862625,0.90625,0.21658024191856384
57,1.0,0.038460444658994675,0.9292929172515869,0.12096872180700302
58,0.9648151397705078,0.106325663626194,0.9375,0.11513154208660126
59,0.96875,0.04658469930291176,0.8989899158477783,0.15398912131786346
60,0.9607072472572327,0.11270221322774887,0.9375,0.17475861310958862
61,1.0,0.012313011102378368,0.9696969985961914,0.054155029356479645
62,0.9648151397705078,0.1001519113779068,0.893750011920929,0.21898484230041504
63,1.0,0.008134745061397552,0.9191918969154358,0.10608382523059845
64,0.9708876609802246,0.08708963543176651,0.9125000238418579,0.19611497223377228
65,0.875,0.134562149643898,0.9191918969154358,0.21693792939186096
66,0.963564932346344,0.09868758916854858,0.949999988079071,0.12155018001794815
67,0.9375,0.08433420956134796,0.9292929172515869,0.10376739501953125
68,0.9505268931388855,0.1365376114845276,0.9125000238418579,0.23864269256591797
69,0.90625,0.09312718361616135,0.9494949579238892,0.08602636307477951
70,0.9678514003753662,0.09475065767765045,0.9125000238418579,0.22346505522727966
71,0.96875,0.0408586747944355,0.9595959782600403,0.07230065017938614
72,0.9657081365585327,0.09213657677173615,0.956250011920929,0.14290307462215424
73,1.0,0.01670953817665577,0.939393937587738,0.08829852193593979
74,0.974459707736969,0.07561428844928741,0.8812500238418579,0.2768007218837738
75,0.96875,0.025611912831664085,0.9191918969154358,0.26580268144607544
76,0.9728522896766663,0.08465562760829926,0.9375,0.19324257969856262
77,0.96875,0.02437007427215576,0.8787878751754761,0.23309366405010223
78,0.9758885502815247,0.07657109200954437,0.918749988079071,0.2641600966453552
79,1.0,0.0072815208695828915,0.8888888955116272,0.1974835991859436
